Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Eremenko, Svetlana",ENG 100B - Engineering Leadership (A),SP11,6,4,100.0%,100.0%,2.0,A (4.00),
"Kleissl, Jan",ENG 100L - Team Engineering Lab (01),SP11,15,7,100.0%,100.0%,3.36,A- (3.86),
"Belongie, Serge J.",ENG 100L - Team Engineering Lab (03),SP11,10,7,100.0%,100.0%,4.79,A (4.00),
"Bartsch, Dirk-Uwe Guenther",ENG 100L - Team Engineering Lab (04),SP11,11,4,100.0%,100.0%,5.5,A (4.00),
"Guest, Clark C",ENG 100L - Team Engineering Lab (06),SP11,10,4,100.0%,100.0%,4.0,A (4.00),
"Llewellyn Smith, Stefan G.",ENG 100L - Team Engineering Lab (07),SP11,12,5,100.0%,80.0%,6.9,A (4.00),
"Bratton, Maryann",ENG 100L - Team Engineering Lab (09),SP11,15,7,100.0%,100.0%,5.36,A (4.00),
"Kastner, Ryan Charles",ENG 100L - Team Engineering Lab (10),SP11,12,6,100.0%,100.0%,3.5,A (4.00),
"Sukumar, Srinivas",ENG 100A - Team Engineering (A),WI11,52,30,70.0%,82.8%,4.16,A- (3.87),A- (3.71)
"Kleissl, Jan",ENG 100L - Team Engineering Lab (01),WI11,11,6,100.0%,100.0%,3.7,A- (3.83),
"Tu, Charles",ENG 100L - Team Engineering Lab (02),WI11,10,3,100.0%,66.7%,5.17,A (4.00),
"Belongie, Serge J.",ENG 100L - Team Engineering Lab (03),WI11,8,4,100.0%,100.0%,5.0,A- (3.75),
"Guest, Clark C",ENG 100L - Team Engineering Lab (06),WI11,10,6,83.3%,100.0%,3.17,A (4.00),
"Bratton, Maryann",ENG 100L - Team Engineering Lab (09),WI11,17,6,83.3%,100.0%,7.17,A (4.00),
"Kastner, Ryan Charles",ENG 100L - Team Engineering Lab (11),WI11,12,10,100.0%,100.0%,6.1,A- (3.90),
"Llewellyn Smith, Stefan G.",ENG 100L - Team Engineering Lab (12),WI11,8,6,100.0%,83.3%,4.17,A (4.00),
"Bratton, Maryann",ENG 100A - Team Engineering (A),FA10,52,28,89.3%,92.9%,5.07,A- (3.75),B+ (3.69)
"Eremenko, Svetlana",ENG 100B - Engineering Leadership (A),FA10,13,9,100.0%,100.0%,0.94,A- (3.89),
"Kleissl, Jan",ENG 100L - Team Engineering Lab (01),FA10,13,5,100.0%,100.0%,7.3,A (4.00),
"Belongie, Serge J.",ENG 100L - Team Engineering Lab (03),FA10,8,3,100.0%,100.0%,6.5,A (4.00),
